Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
850ee950e05e423b96f5e662a46770b0,298.15,101.325,1,CCOC(=O)CC,1.0,0.8840200000000001,0.0,0.8506245632229139,0.0003385518319791056
86817a6743f64232a8cc18ca6c7d8564,298.15,101.325,1,CCOC(=O)CC,1.0,0.8840200000000001,0.0,0.8506245632229139,0.0003385518319791056
efaa7c69b4b74e93b73544d921a61508,298.15,101.325,1,CC(=O)OCC(C)C,1.0,0.8661200000000002,0.0,0.8511001204266484,0.000303722061738029
7fd8a511dc49492d8c73d830a95080f7,298.15,101.325,1,CC(=O)OCC(C)C,1.0,0.8661200000000002,0.0,0.8511001204266484,0.000303722061738029
bc09e191cba74567a3c40832ec158241,298.15,101.325,1,CCC(C)(C)O,1.0,0.8042100000000002,0.0,0.817599190125153,0.0006220948214620855
c070a35519e94a759b1144dbb5b2c9f9,298.15,101.325,1,CCC(C)(C)O,1.0,0.8042100000000002,0.0,0.817599190125153,0.0006220948214620855
c332f7ee4a6742688a6b713442908fd6,298.15,101.325,1,OCCO,1.0,1.1098800000000004,0.0,1.1479841428441064,0.0004027418456850813
2378b095b5d54af9b29840f1acf98337,298.15,101.325,1,OCCO,1.0,1.1098800000000004,0.0,1.1479841428441064,0.0004027418456850813
6b280aa30426453980a08d19c6a3ca5a,298.15,101.325,1,COCCO,1.0,0.9601000000000004,0.0,0.9958561645244371,0.00028150489069660254
b3a10cba9c7d4253b82bfe2083cdd6e2,298.15,101.325,1,COCCO,1.0,0.9601000000000004,0.0,0.9958561645244371,0.00028150489069660254
01152e926b654961be648011c7418d27,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7935731751885332,0.00027177288999324754
ed5a56997e314486ab8ed36415cfa3d4,298.15,101.325,1,CCCO,1.0,0.7996200000000002,0.0,0.7935731751885332,0.00027177288999324754
9c479eb2beb84f2cb587e9be76ec1e0e,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0640213739387447,0.00033159822470839984
718eb7740e6c4fb988a29a0bfe34fdbf,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0640213739387447,0.00033159822470839984
c99be95d6028442c99abf3c90f131d13,298.15,101.325,1,COC(=O)[C@@H](C)CO,1.0,1.0696,0.0,1.0640213739387447,0.00033159822470839984
ac8d7737a16b4edbb765dcb0056841e9,298.15,101.325,1,CCC(=O)OC,1.0,0.9101800000000002,0.0,0.877503244549327,0.00032605448678092307
419b807ca4cf472093cdf040262225c2,298.15,101.325,1,CCC(=O)OC,1.0,0.9101800000000002,0.0,0.877503244549327,0.00032605448678092307
58324f6540d3468dae47d366b34c8d4b,298.15,101.325,1,O=CO,1.0,1.2112900000000002,0.0,1.2546833648946731,0.00039561008434262985
5db5381a899545b58870436b57a71edf,298.15,101.325,1,O=CO,1.0,1.2112900000000002,0.0,1.2546833648946731,0.00039561008434262985
