Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Environment 1,Environment 2
a16d41b0e2df4b57b59c7d2dd6a5600f,298.15,100.0,2,COC(C)=O,0.774,CCCC(=O)OC,0.226,0.102,0.0,0.054559468792656496,0.028408326599596717,ester,ester
27c071be1c414b3c8807d55f2b63ee62,298.15,100.0,2,COC(C)=O,0.5178,CCCC(=O)OC,0.4822,0.151,0.0,0.05764315180979551,0.03905060361649301,ester,ester
00ac6b821d59446196c999d50faa90bd,298.15,100.0,2,COC(C)=O,0.2331,CCCC(=O)OC,0.7669,0.1,0.0,0.07435206359124891,0.04316669643575636,ester,ester
e93df977261649eca52a98df6d556b9f,313.15,101.0,2,CC(=O)O,0.5003,CCCOC(C)=O,0.4997,0.0139,0.0,-1.0699876380921154,0.03934669755026257,ester,ester
7f4816619b364b3abb0ab05aae5ce765,313.15,101.0,2,CC(=O)O,0.7004,CCCOC(C)=O,0.2996,-0.016,0.0,-0.9005510734829443,0.03465150649882064,ester,ester
c539367291c24e7ca1651aa99f7fecc3,313.15,101.0,2,CC(=O)O,0.2008,CCCOC(C)=O,0.7992,0.0406,0.0,-0.6026207588435106,0.044122274682444035,ester,ester
caf8feb9f9844a459aed821484bc9d53,298.15,100.0,2,COC(C)=O,0.7653,CCCCC(=O)OC,0.2347,0.173,0.0,0.17648703796131393,0.036958114193466736,ester,ester
64be0273afbb4278a5703d8225862c83,298.15,100.0,2,COC(C)=O,0.4945,CCCCC(=O)OC,0.5055,0.238,0.0,0.1293717075037577,0.036711746139888465,ester,ester
f958fe9142404892b81ef2091f07169b,298.15,100.0,2,COC(C)=O,0.2661,CCCCC(=O)OC,0.7339,0.17800000000000002,0.0,0.10509248341922017,0.04335810229202085,ester,ester
338ccb1211da4e86bc58a45d1ea8ea48,298.15,100.0,2,CCCCC(=O)OC,0.5232,COC=O,0.4768,0.409,0.0,0.36383370789116043,0.03558289253310773,ester,ester
20f418e42b7c4c65abc85ef87ec48335,298.15,100.0,2,CCCCC(=O)OC,0.2533,COC=O,0.7467,0.379,0.0,0.2973124728258725,0.03460476087363718,ester,ester
56168aaf8275482eb158d5cbcc2cc3b2,298.15,100.0,2,CCCCC(=O)OC,0.7968,COC=O,0.2032,0.219,0.0,0.1621269579719069,0.04642173110976417,ester,ester
7ff467c88e1c4bc096e397b545494f31,298.15,101.0,2,CCOC(C)=O,0.7988,CCCCOC(C)=O,0.2012,0.0524,0.0,0.1342287870089347,0.0396396487552082,ester,ester
08a524ede2784dcca3f5a4820a2c6f6f,298.15,101.0,2,CCOC(C)=O,0.2993,CCCCOC(C)=O,0.7007,0.0594,0.0,0.17960328726287855,0.043300172339196,ester,ester
dc4e1fcbf32b42328e33711a3730da06,298.15,101.0,2,CCOC(C)=O,0.4982,CCCCOC(C)=O,0.5018,0.076,0.0,0.15058037686366355,0.04213319783018428,ester,ester
bc3e21db073c48599407d6b78c92aa29,298.15,100.0,2,CC(=O)O,0.5,CCOC(C)=O,0.5,0.0,0.0,-1.2911272922258519,0.027244370597411426,ester,ester
