Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Environment 1,Environment 2
8913aba7350c4ab5b4a560258c08f011,291.15,101.0,2,CCCOC(C)=O,0.7697,CCCCC,0.2303,0.8292000000000003,0.0,0.8262142004884238,0.00022389769967446062,ester,alkane
a06e195b977a4bfabcc321cca174aea2,291.15,101.0,2,CCCOC(C)=O,0.2734,CCCCC,0.7266,0.6982000000000003,0.0,0.6793838854838987,0.0002536080351344192,ester,alkane
8cae58c2745d41dea19dd3f57c174ccc,298.15,101.0,2,CCCOC(C)=O,0.4881,CCCCC,0.5119,0.7477000000000003,0.0,0.7350211611854774,0.00023852445909621308,ester,alkane
4d680d1176ce45b988df26736c6d8042,318.15,101.0,2,CCCCOC=O,0.752,CCCCCCC,0.248,0.8026400000000001,0.0,0.8103065888234483,0.00025825212040155916,ester,alkane
a40334e8d4db4f5792517854bd911400,308.15,101.0,2,CCCCOC=O,0.2514,CCCCCCC,0.7486,0.7106500000000001,0.0,0.6999797263466958,0.000213976375993776,ester,alkane
df5b42fe96a14bc88ea9bf23d7e54fb1,298.15,101.0,2,CCCCOC=O,0.5012,CCCCCCC,0.4988,0.7672300000000002,0.0,0.7657453463774392,0.00023299386794366664,ester,alkane
4735842c86c44063870b68eea969ae94,318.15,101.0,2,CCCOC(C)=O,0.2642,CCCCCC,0.7358,0.6866000000000002,0.0,0.668153928072063,0.0003020706438449764,ester,alkane
82683cf00a884cdaa5c42f2967a9c895,318.15,101.0,2,CCCOC(C)=O,0.7426,CCCCCC,0.2574,0.7937000000000002,0.0,0.7902281753920866,0.00024133892475551735,ester,alkane
5cae2720cf28477499c29fbd1a176615,291.15,101.0,2,CCCOC(C)=O,0.5117,CCCCCC,0.4883,0.7672000000000002,0.0,0.7600425350820542,0.00025024778470376886,ester,alkane
45a886f67b364181a86f05fd305849f7,298.15,101.0,2,CCCOC(C)=O,0.7446,CCCCCCC,0.2554,0.8169000000000002,0.0,0.8148281113584928,0.0002285168390223857,ester,alkane
cd67b458f2a94ad9b75d4b037d509864,318.15,101.3,2,CCCOC(C)=O,0.2463,CCCCCCC,0.7537,0.6986336093854499,0.0,0.6842022195344912,0.00024249951466493187,ester,alkane
c56b49447c1d4f97822d67e0bab99b47,298.15,101.0,2,CCCOC(C)=O,0.5062,CCCCCCC,0.4938,0.7653000000000001,0.0,0.7581390355006284,0.00031930962167071614,ester,alkane
5edac9b6f487406ebaad2afd15ac3b80,318.15,101.0,2,CCCOC=O,0.5019,CCCCCCC,0.4981,0.7412500000000002,0.0,0.7373558572815295,0.0002680543655306042,ester,alkane
743fa0ddad7f4b55ba1f5c4266166269,298.15,101.0,2,CCCOC=O,0.7497,CCCCCCC,0.2503,0.8209900000000002,0.0,0.8277258358594651,0.00023898911284786457,ester,alkane
55cc8997f6604537907be3b7552f1c23,298.15,101.0,2,CCCOC=O,0.2535,CCCCCCC,0.7465,0.7158400000000003,0.0,0.7061450327991892,0.00022065368429878684,ester,alkane
c13d46dde78544f5b7d53bdc5df55789,318.15,101.3,2,CCCCOC=O,0.746,CCCCCC,0.254,0.7997000000000002,0.0,0.8067334982371298,0.0002734232177664117,ester,alkane
1f8303a1d7e84aaeb18d4d36a688d43a,291.15,101.3,2,CCCCOC=O,0.5021,CCCCCC,0.4979,0.7683000000000001,0.0,0.766066855492752,0.0002310998787907199,ester,alkane
2e51141bdd044f3a8a528d15b3aa6632,291.15,101.3,2,CCCCOC=O,0.249,CCCCCC,0.7509999999999999,0.7114000000000001,0.0,0.700308698595579,0.0002536936031451411,ester,alkane
f1a2e8f8bb214db9b025cb1487e1d496,298.15,101.0,2,CCCCC,0.2471,CCCCOC=O,0.7529,0.8221800000000001,0.0,0.8274133326541211,0.0002242773234490889,alkane,ester
0a43cfeb829744c2b89e6c31ff171696,291.15,101.0,2,CCCCC,0.7972,CCCCOC=O,0.2028,0.6804100000000002,0.0,0.6622770374612893,0.0002557773573607033,alkane,ester
ed82464893fe490595a3c9402df5dd3b,291.15,101.0,2,CCCCC,0.4971,CCCCOC=O,0.5029,0.7614300000000002,0.0,0.7570139106820947,0.0002471382920984988,alkane,ester
26ad0ed786a84a2386b06be89e1ed730,291.15,101.3,2,CCCOC=O,0.7473,CCCCCC,0.2527,0.8270000000000002,0.0,0.8324618122803106,0.0002415645504416354,ester,alkane
d006baad7e554c2e8d6cfa1ff4fe2f80,291.15,101.3,2,CCCOC=O,0.5017,CCCCCC,0.4983,0.7618000000000001,0.0,0.7588609581850014,0.0002525352034537767,ester,alkane
678c5dd0521a436e8625070c56cca9b5,291.15,101.3,2,CCCOC=O,0.248,CCCCCC,0.752,0.7058000000000001,0.0,0.6931814152385259,0.00023932003322610346,ester,alkane
95ce3b8a389747bda4ff390dbbda3c6f,298.15,101.0,2,CCCCC,0.2403,CCCOC=O,0.7597,0.8220100000000002,0.0,0.827687226912768,0.00024163551004907023,alkane,ester
8ad5c359e81840328f24694289fb2607,298.15,101.0,2,CCCCC,0.5118,CCCOC=O,0.4882,0.7417500000000001,0.0,0.7355162189187268,0.00027119223278697244,alkane,ester
30696b995d7f471f883bdb4838704186,298.15,101.0,2,CCCCC,0.7475,CCCOC=O,0.2525,0.6792300000000002,0.0,0.6619486571117106,0.00030770287230025636,alkane,ester
0a2bad89c9fb4319a01d17e9bc3e1c87,298.15,101.3,2,CCCCC(=O)OC,0.2867,CCCCCCC,0.7133,0.7310900000000002,0.0,0.7192405469455733,0.00020721687260734603,ester,alkane
a0214547e0924ff8b2de0bbdfc22a283,298.15,101.3,2,CCCCC(=O)OC,0.7607,CCCCCCC,0.2393,0.8289900000000002,0.0,0.8243694825500519,0.0002259673247836829,ester,alkane
3056f5d423f44423878a02feaf3e27ff,298.15,101.3,2,CCCCC(=O)OC,0.4931,CCCCCCC,0.5069,0.7718800000000002,0.0,0.7636623008196891,0.00020883856964569965,ester,alkane
