Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Environment 1
9275c76cc3ac4d4c9445bddbc3178d46,298.15,101.325,1,CCCO,1.0,47.5,0.0,44.972067096332616,0.2301474777990109,alcohol
20d6b2283a0e4c1ab398e23bc0cbae75,298.15,101.325,1,CCCO,1.0,47.5,0.0,44.972067096332616,0.2301474777990109,alcohol
6341cb3cf09744de8973ceeda3fb7559,298.15,101.325,1,CCCCCCO,1.0,61.85,0.0,62.86328344487625,0.3029401394440505,alcohol
8997ca8bac8b404cbd5405a6628dd9b5,298.15,101.325,1,CCCCCCO,1.0,61.85,0.0,62.86328344487625,0.3029401394440505,alcohol
f681182c79c84bbb9cd11f5249cddcd5,298.15,101.325,1,OCCCO,1.0,70.5,0.0,73.55070969627134,0.24527003059261276,alcohol
d0cd031bb1a14f61a3a5d84110951760,298.15,101.325,1,OCCCO,1.0,70.5,0.0,73.55070969627134,0.24527003059261276,alcohol
e530cddf45474656ba9a9e9406eee22d,298.15,101.325,1,CCCCCO,1.0,44.36,0.0,57.01828804738643,0.286180383432719,alcohol
0a43c03b0b60445a9028a0e2023a86fd,298.15,101.325,1,CCCCCO,1.0,44.36,0.0,57.01828804738643,0.286180383432719,alcohol
5163a91c79aa4ba2b24574140c652f30,298.15,101.325,1,OCC(O)CO,1.0,91.7,0.0,83.10259008105629,0.25643141857413443,alcohol
340ce350024e4602a6d70f3583d7b86f,298.15,101.325,1,OCC(O)CO,1.0,91.7,0.0,83.10259008105629,0.25643141857413443,alcohol
