Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,Environment 1
29b64efb08fe4b85ba92b53cfd95994e,298.15,101.325,1,CC(=O)O,1.0,51.6,0.0,63.895036908494085,0.16880258317205077,151.16793258123175,0.08333333333333333,25.6831695776047,0.01909770536913754,-0.7181633222324948,0.05684105058466876,-0.286691322074644,-0.021801254511545645,-0.21629745094625938,-0.021918382138887818,-0.08252886946226137,0.08911257120267345,-0.051443339982948935,0.1378826752191109,,,ester
f8cd0f404aad475eb1e523862be7338b,298.15,101.325,1,CCOC(C)=O,1.0,35.62,0.0,41.06654968405655,0.23166911505795237,29.664903460896497,0.08333333333333333,25.6831695776047,0.003747696858893521,-0.7679191116368232,0.025901201347141207,-0.1118485392998775,-0.014763789891379985,-0.27358176927755024,-0.04855486864620878,-0.04815435047289557,-0.00034058604969016174,,,-0.046687778259886306,-0.01058926960800802,ester
92275cfe16774c7bb29be244db8be34a,298.15,101.325,1,CCCOC(C)=O,1.0,39.83,0.0,44.42224341403524,0.27866046815541723,21.088699573750084,0.08333333333333333,25.6831695776047,0.0026642275527669576,-0.8166966426115299,0.020928683096459403,-0.09360212326633312,-0.012445386882591128,-0.2859108362617823,-0.06180088340696964,-0.04173490105465055,-0.0031926637309101064,,,-0.04096203213372928,-0.012737766487019657,ester
b571eb42d5ea460a8041b5a6278d99af,313.15,101.325,1,CCCCOC(C)=O,1.0,42.96,0.0,47.16315275710748,0.32216037627786415,17.666493099580226,0.08333333333333333,25.6831695776047,0.002231885257413206,-0.9621915198360593,0.02706336406095591,-0.08677090822295512,-0.010872370293939584,-0.3349716376290181,-0.0715455673507932,-0.039540634027687545,-0.005336042753186272,,,-0.03825693282477372,-0.010547721242506058,ester
b0cc2bb7c5bd4959be0fb7c6cd722f2d,293.25,101.325,1,COC=O,1.0,28.7187400224,0.0,36.82509590308095,0.16545983888817678,65.71300566425063,0.08333333333333333,25.6831695776047,0.008301811102840572,,,-0.1729686364897578,0.00034755212262382797,-0.15186928136711703,-0.020405614392237786,-0.08519894534548693,0.0044825848944673495,,,-0.08813889948326432,-0.017035742285839643,ester
369bcdaf8853439590812b0124307c2e,298.15,101.325,1,CCOC(=O)CC(=O)OCC,1.0,61.7,0.0,71.6076399454289,0.33657020289789447,98.16132928825833,0.08333333333333333,25.6831695776047,0.012401149591582077,-1.5412702289638258,0.10478762281764223,-0.37030011937334,-0.046583392718162774,-0.7913566696394796,-0.12806660595259026,-0.15602542365071037,0.04167120096330365,,,-0.16854455553551206,-0.05072264899879566,ester
