Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Reference EnthalpyOfVaporization Value (kJ / mol),Reference EnthalpyOfVaporization Uncertainty (kJ / mol),Estimated EnthalpyOfVaporization Value (kJ / mol),Estimated EnthalpyOfVaporization Uncertainty (kJ / mol),Environment 1
fa3ae1e1079c47d7975a163e1930b7fa,298.15,101.325,1,CCOC(=O)CC,1.0,39.25,0.0,47.61656562107012,0.2917885327738436,ester
84aafb4133ca46e08e7fa171b2d28d27,298.15,101.325,1,CCOC(=O)CC,1.0,39.25,0.0,47.61656562107012,0.2917885327738436,ester
1d2109b6f96541ba85e4aaece6e0757d,298.15,101.325,1,CC(=O)OCCOC(C)=O,1.0,61.44,0.0,79.5445412475714,0.21120770903985686,ester
0d9bcb246cd04b68aa0f9ebc8858c0ad,298.15,101.325,1,CC(=O)OCCOC(C)=O,1.0,61.44,0.0,79.5445412475714,0.21120770903985686,ester
2f0bcb0abef2405ea9c32a35be4e8c3f,298.15,101.325,1,CCC(=O)OC,1.0,35.85,0.0,43.412309050510025,0.164901426648218,ester
4095b1a330b546389338bc9a4e882e45,298.15,101.325,1,CCC(=O)OC,1.0,35.85,0.0,43.412309050510025,0.164901426648218,ester
c4f89e700bf74dfdadecae18a62c1b3d,298.15,101.325,1,O=CO,1.0,46.3,0.0,65.47687125793317,0.08457329897547346,ester
2546b4ed0b1d49ed943f8bee8b147dd8,298.15,101.325,1,O=CO,1.0,46.3,0.0,65.47687125793317,0.08457329897547346,ester
cc047b778bdc4eefb439fec18c62a642,298.15,101.325,1,CCCOC=O,1.0,37.49,0.0,47.48375886339969,0.2636624160420711,ester
3728e7de23e641fb894bf36e752244eb,298.15,101.325,1,CCCOC=O,1.0,37.49,0.0,47.48375886339969,0.2636624160420711,ester
3612dec0406742458ab0399762ec2c35,298.15,101.325,1,CCCCC(=O)OC,1.0,44.32,0.0,53.92353630080007,0.3205315248687209,ester
43ae7c6e6ff34b15856945fce7fb5940,298.15,101.325,1,CCCCC(=O)OC,1.0,44.32,0.0,53.92353630080007,0.3205315248687209,ester
2bf8cf258b7846f89916bb1143a21b5f,304.0,101.325,1,CCOC=O,1.0,31.63314346416,0.0,42.00979851346976,0.2915266721413882,ester
80001a2c4e4544c48b952c5c70ceee52,304.0,101.325,1,CCOC=O,1.0,31.63314346416,0.0,42.00979851346976,0.2915266721413882,ester
d7564e9838ed4e2fb76492af17e027fd,298.15,101.325,1,CCCC(=O)O,1.0,58.0,0.0,76.02893299291722,0.1542228725062236,ester
734a166010a649a7bb694a7df5b3f643,298.15,101.325,1,CCCC(=O)O,1.0,58.0,0.0,76.02893299291722,0.1542228725062236,ester
c98888ba55f441ae8d3c85e9bc780d6d,298.15,101.325,1,CCCC(=O)OC,1.0,40.1,0.0,48.325480002935144,0.2722442357352923,ester
d3b45d99f44c45a1a5aeb1bf87d83289,298.15,101.325,1,CCCC(=O)OC,1.0,40.1,0.0,48.325480002935144,0.2722442357352923,ester
c328a1d922b54947a3bfd1427455d177,298.15,101.325,1,CCCC(=O)OCC,1.0,42.86,0.0,52.72174345618988,0.30264696618166764,ester
e2cc0037d3f4432fa41342761045c8de,298.15,101.325,1,CCCC(=O)OCC,1.0,42.86,0.0,52.72174345618988,0.30264696618166764,ester
62efdf2a619542ffbbb0766115ae22e3,298.15,101.325,1,CCCCOC=O,1.0,41.25,0.0,52.611851415133756,0.28289453234241774,ester
19ec8ea612984a3c843d9697fdd29522,298.15,101.325,1,CCCCOC=O,1.0,41.25,0.0,52.611851415133756,0.28289453234241774,ester
c5dbc728bf0148f9923604ed96bf9862,298.15,101.325,1,CCC(=O)O,1.0,55.0,0.0,69.14823873360831,0.1943317836707596,ester
a2e13e29d103491c9abe069e915589fa,298.15,101.325,1,CCC(=O)O,1.0,55.0,0.0,69.14823873360831,0.1943317836707596,ester
a8417bfcb1984d85bca70d0bbe5da68b,298.15,101.325,1,COC(C)=O,1.0,32.3,0.0,40.01475119493666,0.14706251335065063,ester
4f9cb1a33c3d4f0b86dbad696c519962,298.15,101.325,1,COC(C)=O,1.0,32.3,0.0,40.01475119493666,0.14706251335065063,ester
21af112ec31a4514915f2588e670ee56,298.15,101.325,1,CC(C)C(=O)O,1.0,53.0,0.0,72.53502516560478,0.24656477732109996,ester
a99cc970591b4745a2dcfc4676f24543,298.15,101.325,1,CC(C)C(=O)O,1.0,53.0,0.0,72.53502516560478,0.24656477732109996,ester
