Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference ExcessMolarVolume Value (cm ** 3 / mol),Reference ExcessMolarVolume Uncertainty (cm ** 3 / mol),Estimated ExcessMolarVolume Value (cm ** 3 / mol),Estimated ExcessMolarVolume Uncertainty (cm ** 3 / mol),Environment 1,Environment 2
4922c42f740a4105916f4729ffc01a48,298.15,100.0,2,COC(C)=O,0.2606,CCCC(=O)OC,0.7394,0.07574235631921056,0.0,0.009921622430692934,0.03396026661048572,ester,ester
74cc637e1bdd4d8fb9766a6fbccc6e59,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.10391545955037174,0.0,0.04491370089312735,0.030453091489945645,ester,ester
7b3cd91db0fb42c39b5174071aec5ad2,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.09894594011771927,0.0,0.036229444146365995,0.029273331313062742,ester,ester
d55ff1fe546247528564f5f032e61ac6,298.0,101.3,2,CC(=O)OCCC(C)C,0.7499,C=CC(=O)OCC,0.2501,0.04825826535025257,0.0,-0.02931946183782197,0.050366503673630644,ester,ester
62dc22a32dac43d6828f878c71695676,298.0,101.3,2,CC(=O)OCCC(C)C,0.2501,C=CC(=O)OCC,0.7499,0.04792052010303394,0.0,-0.04576089614071733,0.03913791942324368,ester,ester
0752af5eb78b44499393bbd8076ab2ae,298.0,101.3,2,CC(=O)OCCC(C)C,0.501,C=CC(=O)OCC,0.499,0.0657422357382842,0.0,-0.004424095687503774,0.03711356530426263,ester,ester
ae8074b8d21842a0a99fbd586c9ef6c9,298.15,101.3,2,CC(=O)O,0.4937,COC(C)=O,0.5063,-0.21111803561814926,0.0,-0.2979473214607815,0.02186784839720548,ester,ester
eb1a5e7d44fa4d158c736dece26909f6,298.15,101.3,2,CC(=O)O,0.7943,COC(C)=O,0.2057,-0.12187547756990467,0.0,-0.14774689720539128,0.019992726898720437,ester,ester
d0668c7be95f42b9a83aaef2f3a20052,298.15,101.3,2,CC(=O)O,0.3007,COC(C)=O,0.6993,-0.20718311699945247,0.0,-0.2522659977138243,0.024414640592196328,ester,ester
80d3c43fcd1a404d9389e4aa55a15c49,298.15,101.3,2,CC(=O)O,0.2944,CCOC(C)=O,0.7056,-0.16906167993846566,0.0,-0.24933287483719604,0.029211089922690156,ester,ester
4186b2a67a2e4845a451a90dea8aff74,298.15,101.3,2,CC(=O)O,0.7989,CCOC(C)=O,0.2011,-0.05202557654472173,0.0,-0.14867375529241925,0.023655848694077754,ester,ester
0cc8676282464b22beb896ce936b4508,298.15,101.3,2,CC(=O)O,0.5007,CCOC(C)=O,0.4993,-0.14632017829911348,0.0,-0.260104039198477,0.025045512413519707,ester,ester
0ffaf8b5d63a4eed92839139bfdf349f,298.15,100.0,2,COC(C)=O,0.7489,CCCCC(=O)OC,0.2511,0.1605713741787227,0.0,0.03136479932702943,0.030892453308330764,ester,ester
2ca8d30a55f54f9887d0614e03a1ab3d,298.15,100.0,2,COC(C)=O,0.5065,CCCCC(=O)OC,0.4935,0.1701076196921747,0.0,0.06108144682078831,0.03434953240567528,ester,ester
1de27374e97642a492801a88e20f5ce7,298.15,100.0,2,COC(C)=O,0.2617,CCCCC(=O)OC,0.7383,0.1097178498217204,0.0,-0.009827291966545594,0.03591924168812683,ester,ester
7695a847cebe4e81a8ec6ff3a241f3c1,298.15,101.0,2,CCCC(=O)O,0.5,CC(C)C(=O)O,0.5,-0.016610521680611612,0.0,-0.026361121740108597,0.03341775723196925,ester,ester
2077b1ed20334003b3a228586fbdd4f9,298.15,101.0,2,CCCC(=O)O,0.8,CC(C)C(=O)O,0.2,-0.017702080663873687,0.0,0.002575725335173661,0.04450011448000242,ester,ester
1b97a87e6ab54f518d28cdc619cc7095,298.15,101.0,2,CCCC(=O)O,0.2,CC(C)C(=O)O,0.8,-0.006865159497593254,0.0,-0.0516030214173832,0.037755130872834525,ester,ester
def444c5a73a4ac3ad9c144e1d3c800a,298.0,101.3,2,CC(=O)OCCC(C)C,0.25,C=C(C)C(=O)OC,0.75,0.04458042908035509,0.0,-0.004741219927388587,0.0375058406404237,ester,ester
88b7beb075ab4b889e7a2163f40d3eda,298.0,101.3,2,CC(=O)OCCC(C)C,0.7508,C=C(C)C(=O)OC,0.2492,0.051917579969526166,0.0,-0.08714821795352204,0.04474419447833387,ester,ester
cab9fe3e00d6478a828cccd121e3eaf9,298.0,101.3,2,CC(=O)OCCC(C)C,0.5005,C=C(C)C(=O)OC,0.4995,0.06172036411370385,0.0,0.01169935670568603,0.03895125897267209,ester,ester
6da64e3b76eb4f63af6b8e3072684399,298.15,101.3,2,C=COC(C)=O,0.264,C=COC(=O)CC,0.736,0.02181455841287061,0.0,-0.004279425485315768,0.03433377063109654,ester,ester
21d1840866c242d99375b64519a18372,298.15,101.3,2,C=COC(C)=O,0.504,C=COC(=O)CC,0.496,0.026106701845634458,0.0,0.024278847269944427,0.034228291296014485,ester,ester
e979e49194a543c490586058f3ef5f7d,298.15,101.3,2,C=COC(C)=O,0.753,C=COC(=O)CC,0.247,0.020503961687598604,0.0,0.0075473421234402765,0.03395636262664273,ester,ester
2c6865c23f974bd393b798b3931a4e5d,298.15,101.0,2,CCCC(=O)O,0.7973,CCCCC(=O)O,0.2027,0.006985103681877547,0.0,-0.07525596506353147,0.0396801087577467,ester,ester
ac456d21977342e6a2268a8728513b6c,298.15,101.0,2,CCCC(=O)O,0.4922,CCCCC(=O)O,0.5078,0.014834481105992838,0.0,-0.07863145071514747,0.03549965510788484,ester,ester
1aaf128e7fd8406b880e1a5abd8c0e98,298.15,101.0,2,CCCC(=O)O,0.2928,CCCCC(=O)O,0.7072,0.012563897505444288,0.0,-0.06825194950813025,0.039631052934192584,ester,ester
d55ee8cb3e424958882cf088b837f3a8,298.15,101.0,2,CCCC(=O)O,0.7993,CCC(=O)O,0.2007,0.020398689816113702,0.0,-0.06552559163999153,0.03467966476460532,ester,ester
f4dc96a5dbe2488781ef5f5d3309ec7b,298.15,101.0,2,CCCC(=O)O,0.4999,CCC(=O)O,0.5001,0.03084990474086169,0.0,-0.004177775471263482,0.030977654994247608,ester,ester
68c3f94c05d04f799dd6452588d5fe45,298.15,101.0,2,CCCC(=O)O,0.2996,CCC(=O)O,0.7004,0.0255487265721186,0.0,-0.02736108274148023,0.02754119665302553,ester,ester
